gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
22100755,2022-01-30,regular,1629029,Luka Doncic,DAL,ORL,DAL,38,34,13,22,59.1,4,9,44.4,4,6,66.7,0,12,12,11,1,0,6,3,11,0,2022
22100768,2022-02-01,regular,203507,Giannis Antetokounmpo,MIL,MIL,WAS,38,33,14,21,66.7,0,3,0.0,5,5,100.0,2,13,15,11,0,2,2,3,14,1,2022
22100791,2022-02-04,regular,1629029,Luka Doncic,DAL,DAL,PHI,40,33,13,28,46.4,1,6,16.7,6,9,66.7,3,10,13,15,2,0,3,1,19,1,2022
22100833,2022-02-10,regular,200768,Kyle Lowry,MIA,NOP,MIA,36,14,5,9,55.6,4,7,57.1,0,0,0.0,0,11,11,11,4,0,3,3,20,1,2022
22100842,2022-02-11,regular,203999,Nikola Jokic,DEN,BOS,DEN,34,23,9,20,45.0,3,10,30.0,2,4,50.0,5,11,16,11,0,2,9,2,3,0,2022
22100860,2022-02-14,regular,1630581,Josh Giddey,OKC,NYK,OKC,39,28,11,22,50.0,3,4,75.0,3,6,50.0,2,9,11,12,1,0,7,1,6,1,2022
22100899,2022-02-25,regular,1627749,Dejounte Murray,SAS,WAS,SAS,43,31,12,20,60.0,1,3,33.3,6,6,100.0,2,11,13,14,0,0,6,3,-2,1,2022
22100967,2022-03-06,regular,203999,Nikola Jokic,DEN,DEN,NOP,43,46,16,22,72.7,3,5,60.0,11,12,91.7,3,9,12,11,3,4,5,3,22,1,2022
22100528,2022-03-07,regular,203999,Nikola Jokic,DEN,DEN,GSW,35,32,12,17,70.6,0,0,0.0,8,14,57.1,3,12,15,13,0,1,3,3,14,1,2022
22100985,2022-03-09,regular,2544,LeBron James,LAL,HOU,LAL,45,23,9,26,34.6,1,9,11.1,4,6,66.7,2,12,14,12,1,4,5,1,-17,0,2022
22101107,2022-03-26,regular,1627749,Dejounte Murray,SAS,NOP,SAS,40,15,4,19,21.1,0,5,0.0,7,8,87.5,1,10,11,13,3,0,2,3,10,1,2022
22101122,2022-03-28,regular,203999,Nikola Jokic,DEN,CHA,DEN,35,26,9,17,52.9,0,0,0.0,8,12,66.7,5,14,19,11,2,0,4,1,21,1,2022
22101134,2022-03-29,regular,1629029,Luka Doncic,DAL,DAL,LAL,30,34,12,23,52.2,4,12,33.3,6,7,85.7,3,9,12,12,1,0,1,1,21,1,2022
22101142,2022-03-30,regular,1629645,Kevin Porter Jr.,HOU,HOU,SAC,38,30,11,17,64.7,4,10,40.0,4,5,80.0,2,10,12,12,0,1,3,4,0,0,2022
22200021,2022-10-21,regular,1627783,Pascal Siakam,TOR,BKN,TOR,37,37,15,21,71.4,2,6,33.3,5,9,55.6,2,10,12,11,0,0,3,4,2,0,2023
22200035,2022-10-22,regular,203999,Nikola Jokic,DEN,DEN,OKC,39,19,6,10,60.0,1,1,100.0,6,9,66.7,1,15,16,13,1,1,3,2,18,1,2023
22200066,2022-10-27,regular,1629029,Luka Doncic,DAL,BKN,DAL,41,41,14,28,50.0,2,6,33.3,11,13,84.6,1,10,11,14,3,0,5,2,20,1,2023
22200104,2022-11-01,regular,201939,Stephen Curry,GSW,MIA,GSW,34,23,7,14,50.0,4,10,40.0,5,5,100.0,4,9,13,13,1,0,5,3,3,0,2023
22200119,2022-11-03,regular,203999,Nikola Jokic,DEN,OKC,DEN,36,15,6,9,66.7,0,0,0.0,3,3,100.0,0,13,13,14,1,0,10,3,15,1,2023
22200129,2022-11-04,regular,203507,Giannis Antetokounmpo,MIL,MIN,MIL,34,26,7,17,41.2,2,4,50.0,10,20,50.0,0,14,14,11,0,0,4,3,25,1,2023
22200164,2022-11-09,regular,201142,Kevin Durant,BKN,BKN,NYK,35,29,10,19,52.6,1,5,20.0,8,10,80.0,1,11,12,12,1,2,1,1,32,1,2023
22200230,2022-11-18,regular,1629029,Luka Doncic,DAL,DAL,DEN,35,33,11,22,50.0,2,7,28.6,9,11,81.8,1,11,12,11,1,0,2,1,25,1,2023
22200310,2022-11-29,regular,1629029,Luka Doncic,DAL,DAL,GSW,39,41,14,27,51.9,4,9,44.4,9,15,60.0,2,10,12,12,4,1,5,3,22,1,2023
22200368,2022-12-07,regular,1629630,Ja Morant,MEM,MEM,OKC,30,26,8,16,50.0,2,3,66.7,8,10,80.0,3,10,13,11,2,0,3,2,11,1,2023
22200382,2022-12-09,regular,201566,Russell Westbrook,LAL,PHI,LAL,36,12,4,14,28.6,1,5,20.0,3,4,75.0,2,9,11,11,4,0,4,4,-7,0,2023
22200393,2022-12-10,regular,203999,Nikola Jokic,DEN,DEN,UTA,35,31,11,20,55.0,1,4,25.0,8,10,80.0,3,9,12,14,1,4,3,3,10,1,2023
22200423,2022-12-14,regular,202331,Paul George,LAC,LAC,MIN,33,17,4,13,30.8,2,7,28.6,7,8,87.5,3,8,11,11,0,0,4,2,9,1,2023
